username,platform,label,follower_count,following_count,friends_count,posts_count,account_age_days,has_profile_photo,has_cover_photo,bio_length,username_digit_ratio,username_length,friend_request_mutuals,profile_completeness,avg_likes_per_post,posts_per_week
devrao,facebook,real,3468,196,210,46,5200,1,1,138,0.0,6,175,1.0,4.65,0.061
isla_santos,instagram,real,389,165,136,86,947,1,1,117,0.0,11,20,1.0,86.38,0.635
clara.hassan3,twitter,real,244,85,48,87,305,1,0,195,0.0769,13,16,0.8059,18.56,1.994
official_8711263,instagram,fake,10,1947,5,5,23,0,1,26,0.4375,16,5,0.4199,5.03,1.571
win.follow14150,instagram,fake,75,1159,7,2,37,0,0,22,0.3333,15,1,0.237,4.77,0.382
id_8345,twitter,fake,8,1600,7,22,15,0,0,0,0.5714,7,4,0.2667,0.6,14.302
islaweiss,instagram,real,229,351,44,272,303,1,0,88,0.0,9,24,0.805,33.23,6.284
arjunpark4,twitter,fake,27,479,8,8,6,0,1,18,0.1,10,0,0.4051,0.5,9.508
hugomoreau,twitter,real,125,83,13,81,1266,1,0,109,0.0,10,15,0.8333,29.06,0.451
real_926439,instagram,fake,11,951,27,10,16,0,0,3,0.5455,11,1,0.2208,1.66,13.219
deal_win99377,instagram,fake,14,999,2,2,15,1,0,33,0.3846,13,1,0.4153,2.87,0.781
xx_deal782,facebook,fake,9,1527,26,6,33,0,0,24,0.3,10,3,0.2559,9.78,1.193
omarsantos8,instagram,fake,16,996,30,39,1855,1,0,58,0.0909,11,1,0.7814,4.37,0.146
leonair6,facebook,fake,7,687,28,6,43,0,0,43,0.125,8,1,0.3003,1.9,0.982
ravirao,instagram,real,429,264,34,25,235,1,0,50,0.0,7,16,0.6477,17.89,0.735
felix.costa,facebook,real,208,110,130,72,429,1,0,117,0.0,11,10,0.8333,6.34,1.169
deal_win803,facebook,fake,10,484,37,2,44,1,0,0,0.2727,11,5,0.3598,2.17,0.243
adityaokoye,instagram,real,884,265,61,11,1748,1,0,12,0.0,11,28,0.5693,1.79,0.043
kaikade,twitter,real,935,295,34,5,508,1,0,20,0.0,7,15,0.5616,3.99,0.069
omar.alvarez94,instagram,real,853,221,17,9,772,1,0,8,0.1429,14,5,0.5545,6.7,0.084
net.3319,twitter,fake,35,851,7,39,1433,1,0,30,0.5,8,1,0.7235,1.07,0.188
leosingh2,instagram,real,114,245,64,49,910,1,0,46,0.1111,9,69,0.7634,15.43,0.38
tmp_official132,facebook,fake,6,695,20,6,35,0,0,0,0.2,15,1,0.2096,1.9,1.293
tmp69380,twitter,fake,2,1123,2,11,32,0,0,0,0.625,8,1,0.2268,1.65,2.392
deal.follow69330,facebook,fake,49,1190,81,2,6,0,0,55,0.3125,16,1,0.2915,1.16,2.192
anika.weiss2,instagram,real,173,211,23,281,982,1,1,116,0.0833,12,42,1.0,226.57,2.0
ravialvarez,facebook,real,705,144,161,5,15,1,1,39,0.0,11,1,0.6105,2.41,2.484
official.236777,instagram,fake,7,1007,10,20,147,0,0,0,0.4,15,1,0.3151,0.66,0.929
arjun_kade92,instagram,real,828,156,57,6,812,1,0,16,0.1667,12,28,0.5582,3.62,0.051
aditya.nair,facebook,real,123,67,488,29,206,1,1,5,0.0,11,16,0.7243,5.88,0.972
win9245,facebook,fake,59,1245,12,5,50,0,0,53,0.5714,7,4,0.3209,3.89,0.678
marcomoreau,instagram,real,1761,711,13,95,1420,1,0,49,0.0,11,10,0.7694,27.6,0.471
acc_tmp11514,instagram,fake,3,1544,2,5,11,0,0,21,0.4167,12,3,0.2345,1.39,5.008
win_net9630,facebook,fake,10,1066,25,4,23,0,0,23,0.3636,11,1,0.2416,1.52,1.172
freya_dsouza92,facebook,real,35,188,200,28,572,1,1,84,0.1429,14,5,0.9503,12.11,0.343
official.381407,instagram,fake,43,606,6,39,1439,1,1,37,0.4,15,4,0.9049,0.81,0.188
theo_khan93,instagram,real,4305,161,24,458,1167,1,1,39,0.1818,11,37,0.9143,150.36,2.744
theo_nguyen,facebook,real,477,93,407,4,26,1,1,105,0.0,11,2,0.6938,12.77,0.988
ravisingh99,facebook,real,20,158,285,53,615,1,1,128,0.1818,11,15,1.0,10.22,0.605
zarapark,instagram,real,331,167,37,12,423,1,0,15,0.0,8,14,0.579,5.32,0.19
q.26466,facebook,fake,42,390,65,2,23,1,1,4,0.7143,7,0,0.526,1.04,0.498
omar_kade3,twitter,real,2541,179,10,64,1658,1,0,91,0.1,10,17,0.8333,16.59,0.272
kai.nguyen,instagram,real,616,352,37,46,1130,1,0,0,0.0,10,10,0.6667,14.43,0.287
follow.deal41910,instagram,fake,7,1050,7,6,104,0,0,24,0.3125,16,2,0.2912,15.92,0.423
deal_78719,facebook,fake,12,908,39,5,8,0,0,8,0.5,10,1,0.209,2.73,4.461
kaivale7,facebook,fake,15,339,22,2,63,0,1,10,0.125,8,1,0.3908,3.67,0.19
zara.santos2,instagram,real,1662,564,97,124,1783,1,1,43,0.0833,12,53,0.9224,27.98,0.488
leomoreau2,facebook,real,240,156,443,9,28,1,1,60,0.1,10,1,0.6752,2.36,2.23
id.bot735,facebook,fake,6,1359,30,2,17,1,0,31,0.3333,9,1,0.4121,4.52,0.709
freyakade,instagram,real,497,244,16,86,744,1,1,136,0.0,9,10,1.0,358.03,0.81
id.bot07226,instagram,fake,253,1408,7,32,705,1,0,3,0.4545,11,2,0.6386,2.0,0.315
arjun.nguyen,twitter,real,676,757,21,36,1205,1,1,43,0.0,12,58,0.9063,29.05,0.209
hugo_okoye92,instagram,real,670,181,7,202,816,1,1,51,0.1667,12,31,0.939,65.01,1.734
clara_moreau,facebook,real,26,163,777,36,397,1,1,8,0.0,12,7,0.8346,36.88,0.64
theo_chen,instagram,real,1681,249,26,168,1397,1,0,39,0.0,9,20,0.748,79.41,0.84
new.follow9281,instagram,fake,870,749,3,101,28,1,1,85,0.2857,14,12,0.8461,36.32,25.259
freyaberg,facebook,real,32,66,355,11,49,0,1,0,0.0,9,1,0.3996,9.42,1.506
anika_nguyen,instagram,real,192,224,23,19,41,1,0,45,0.0,12,3,0.5234,38.25,3.186
botofficial5288511,twitter,fake,13,1638,20,4,11,1,0,0,0.3889,18,1,0.3547,3.03,14.108
promo.6043,facebook,fake,7,871,11,1,23,1,1,13,0.4,10,1,0.5407,2.37,0.245
official.3247,facebook,fake,9,1044,36,5,23,0,0,38,0.3077,13,1,0.2766,0.48,1.553
samir_singh,instagram,real,1238,114,29,98,495,1,1,45,0.0,11,8,0.9263,18.84,1.388
jonas_park94,twitter,real,694,131,28,12,1608,1,0,3,0.1667,12,11,0.5577,1.25,0.053
win.q310,instagram,fake,62,974,5,6,31,0,0,14,0.375,8,1,0.2359,1.94,1.418
hugo.okoye99,facebook,real,103,141,1042,171,427,1,1,94,0.1667,12,13,1.0,82.85,2.809
rohan_nguyen,instagram,real,3348,94,26,56,396,1,0,63,0.0,12,11,0.7979,30.62,0.997
new.821553,facebook,fake,16,348,87,2,36,0,0,0,0.6,10,5,0.1894,14.05,0.295
lucia.chen,facebook,real,259,115,255,98,717,1,1,89,0.0,10,11,1.0,67.03,0.957
acc93304,facebook,fake,349,788,54,82,51,1,0,66,0.625,8,1,0.6614,9.28,11.201
q.579,facebook,fake,18,388,11,6,26,1,0,4,0.6,5,2,0.3778,2.11,1.629
jonasdsouza2,facebook,real,388,111,262,123,390,1,0,0,0.0833,12,21,0.6667,19.22,2.202
tmp.718,instagram,fake,9,1602,3,1,38,1,0,8,0.4286,7,1,0.3723,3.29,0.179
freya_khan,facebook,real,227,155,207,19,12,1,0,45,0.0,10,5,0.5093,5.77,10.886
elena_dsouza,instagram,real,649,216,18,367,188,1,0,31,0.0,12,6,0.6502,25.47,13.659
rohan_park,facebook,real,119,122,451,129,866,1,1,118,0.0,10,32,1.0,16.41,1.043
kainguyen,instagram,real,94,342,36,2,42,1,1,24,0.0,9,2,0.576,3.28,0.275
zarahassan91,instagram,real,787,201,34,75,589,1,1,75,0.1667,12,16,0.9901,111.26,0.891
marcokade8,facebook,fake,66,869,41,6,19,0,1,8,0.1,10,2,0.3818,2.51,11.993
devberg3,instagram,fake,10,1424,6,2,39,1,0,7,0.125,8,1,0.374,2.4,0.386
elenakhan,twitter,real,195,357,135,44,1765,1,1,44,0.0,9,50,0.9251,29.65,0.174
raviokoye2,twitter,real,249,589,11,137,1534,1,1,9,0.1,10,8,0.8524,5.2,0.624
nettmp764,twitter,fake,2,1587,5,2,38,0,0,23,0.3333,9,0,0.238,1.16,0.302
leila_dsouza,facebook,real,46,189,423,81,501,1,1,94,0.0,12,50,1.0,72.28,1.133
zaradsouza2,facebook,real,46,165,302,57,1359,1,0,123,0.0909,11,20,0.8333,13.54,0.292
kaikade8,twitter,fake,3,674,4,8,25,0,0,0,0.125,8,1,0.2116,1.52,2.256
freya_berg,facebook,real,135,184,361,19,1646,1,0,69,0.0,10,24,0.7235,160.14,0.082
omarnair2,instagram,real,1302,776,20,46,684,1,1,94,0.1111,9,11,1.0,98.7,0.471
leo_costa,twitter,real,703,176,30,10,433,1,1,14,0.0,9,35,0.737,1.91,0.159
promo.608258,facebook,fake,22,611,117,4,23,0,0,0,0.5,12,1,0.1923,2.5,1.103
siennanair,facebook,real,183,176,250,36,271,1,0,117,0.0,10,15,0.7747,14.93,0.936
amara_okoye,instagram,real,3193,135,49,52,482,1,1,150,0.0,11,14,1.0,97.15,0.76
sienna_moreau,twitter,real,215,202,26,189,312,1,0,115,0.0,13,16,0.8091,14.49,4.242
meera_costa,twitter,real,294,103,36,85,662,1,0,136,0.0,11,7,0.8333,9.05,0.894
amarahassan2,facebook,real,39,84,615,47,1003,1,1,54,0.0833,12,73,0.9466,7.94,0.331
devnguyen4,facebook,fake,65,950,13,6,16,0,0,27,0.1,10,4,0.2529,0.82,10.503
siennapark3,facebook,fake,22,512,5,1,17,1,0,15,0.0909,11,2,0.3778,3.47,0.544
maya.berg,twitter,real,68,243,10,28,1444,1,0,55,0.0,9,22,0.7307,38.81,0.135
meerahassan,instagram,real,1794,231,29,15,5,1,1,56,0.0,11,2,0.6818,45.31,21.377
aditya_hassan,facebook,real,692,111,143,145,749,1,1,153,0.0,13,22,1.0,45.32,1.355
q_tmp3552,twitter,fake,4,1073,2,2,41,1,1,21,0.4444,9,2,0.5727,1.47,0.419
follow2576,twitter,fake,5,732,3,9,124,0,0,32,0.4,10,1,0.3285,2.2,0.527
deal.4216269,twitter,fake,29,856,2,4,47,0,0,25,0.5833,12,4,0.2547,2.22,0.549
noahmoreau,twitter,real,757,256,34,93,866,1,0,106,0.0,10,21,0.8333,2.46,0.754
xx1664721,facebook,fake,9,547,15,29,1161,1,0,13,0.7778,9,3,0.6462,1.9,0.172
lucia_dsouza,facebook,real,106,270,309,31,685,1,1,0,0.0,12,7,0.7975,9.45,0.321
user.id7164,instagram,fake,5,974,20,4,48,0,0,8,0.3636,11,5,0.2203,3.79,0.56
tmp.858254,twitter,fake,8,991,14,1,64,0,0,9,0.6,10,1,0.2166,3.12,0.071
tmp_374,instagram,fake,71,853,5,4,11,0,0,11,0.4286,7,4,0.2138,19.04,2.843
aisha.nguyen,instagram,real,457,423,120,19,23,1,0,19,0.0,12,9,0.4634,11.58,5.873
omarbrook,instagram,real,280,346,58,16,50,1,0,216,0.0,9,1,0.5897,1.83,2.247
win246433,twitter,fake,6,1800,9,1,20,1,1,46,0.6667,9,1,0.6086,0.72,0.23
omar.singh,twitter,real,83,70,2,96,4605,1,0,62,0.0,10,8,0.7953,6.88,0.146
theo.weiss,instagram,real,671,433,15,44,439,1,1,43,0.0,10,41,0.9228,94.51,0.699
ravicosta,facebook,real,83,150,998,97,549,1,1,83,0.0,9,24,1.0,62.35,1.241
tmp2137944,instagram,fake,12,681,4,23,965,1,0,14,0.7,10,0,0.6264,7.57,0.17
jonasbrook,facebook,real,83,93,746,1,12,0,1,19,0.0,10,1,0.3819,0.97,0.459
deal.158,instagram,fake,11,2056,4,7,23,0,0,0,0.375,8,2,0.2043,8.98,1.981
acc.win1427216,facebook,fake,247,501,28,96,38,1,1,76,0.5,14,14,0.8414,18.03,17.776
hugochen,twitter,real,24,317,11,143,648,1,1,161,0.0,8,22,1.0,8.92,1.541
ninacosta4,twitter,real,107,150,11,296,4005,1,0,101,0.1,10,20,0.8333,12.18,0.518
acc_3214990,twitter,fake,6,623,8,3,12,1,0,59,0.6364,11,1,0.475,3.02,1.817
follow.13599,twitter,fake,7,1996,5,33,14,0,0,0,0.4167,12,0,0.3103,1.84,15.925
kai.rao,twitter,real,121,300,44,455,909,1,1,82,0.0,7,19,1.0,24.6,3.504
priyaweiss7,instagram,fake,411,1630,6,80,12,1,1,67,0.0909,11,16,0.8125,10.51,8.082
leilabrook96,facebook,real,278,51,1596,14,25,1,0,88,0.1667,12,2,0.5685,5.81,3.834
botwin7752,instagram,fake,24,678,2,3,14,0,0,14,0.4,10,1,0.2176,5.58,6.345
sienna.kade96,facebook,real,155,477,365,34,563,1,1,86,0.1538,13,19,0.9741,48.17,0.42
id_xx2470,facebook,fake,14,295,49,4,39,0,0,63,0.4444,9,4,0.3304,0.79,0.67
jonas.hassan2,facebook,real,37,183,386,146,1603,1,0,36,0.0769,13,9,0.742,13.16,0.636
tmp161,instagram,fake,12,1564,4,6,5,1,0,65,0.5,6,2,0.4941,1.92,4.053
leila_moreau,facebook,real,82,157,411,8,525,1,1,10,0.0,12,20,0.7205,11.52,0.102
leila_alvarez,facebook,real,149,122,545,36,646,1,1,66,0.0,13,41,0.9548,27.95,0.394
zara.nguyen97,twitter,real,1702,193,11,89,180,1,0,113,0.1538,13,9,0.7489,15.22,3.481
clara.park,instagram,real,1063,403,19,4,888,1,0,20,0.0,10,17,0.5567,7.83,0.028
arjunmoreau1,facebook,fake,18,611,8,2,26,1,0,19,0.0833,12,2,0.3956,3.55,0.664
zara_nguyen,twitter,real,87,178,8,1212,1085,1,0,88,0.0,11,17,0.8333,25.63,7.82
clara.nguyen,twitter,real,479,260,31,63,580,1,0,173,0.0,12,20,0.8333,7.02,0.761
win_net5425472,facebook,fake,2,437,15,28,1768,1,0,17,0.5,14,2,0.6524,2.08,0.11
marco_costa,facebook,real,210,80,171,57,280,1,1,111,0.0,11,12,0.9612,12.84,1.427
meera.chen,facebook,real,115,65,193,31,670,1,1,88,0.0,10,9,0.9613,9.55,0.321
user.tmp61556,twitter,fake,6,1131,11,2,26,0,0,42,0.3846,13,0,0.2756,2.06,0.573
clarasantos,facebook,real,220,52,365,9,6,1,0,63,0.0,11,1,0.5057,3.22,10.655
marcochen2,instagram,fake,185,624,5,75,6,1,1,81,0.1,10,3,0.8361,7.74,40.0
userwin45720,facebook,fake,9,1262,12,5,12,1,0,13,0.4167,12,2,0.3846,2.2,2.737
siennasingh7,facebook,fake,326,896,29,49,14,1,0,49,0.0833,12,9,0.608,16.83,10.975
leocosta2,facebook,fake,15,531,23,2,193,0,1,18,0.1111,9,1,0.4673,3.08,0.072
user_96243,facebook,fake,4,397,25,6,4,1,0,0,0.5,10,1,0.3602,1.66,9.918
ninaiyer,instagram,real,284,320,34,804,691,1,0,105,0.0,8,5,0.8333,351.9,8.147
user_real899,facebook,fake,7,565,25,3,18,1,0,15,0.25,12,3,0.3826,1.34,0.975
q_acc941,facebook,fake,31,329,41,32,982,1,0,33,0.375,8,1,0.7008,1.21,0.225
hugosingh6,instagram,fake,54,933,8,20,1232,1,0,13,0.1,10,1,0.6103,2.42,0.115
omarkhan,facebook,real,233,112,184,105,1396,1,0,43,0.0,8,17,0.756,20.53,0.526
new_xx174,instagram,fake,33,1421,4,1,164,0,0,6,0.3333,9,1,0.2555,3.53,0.022
leosingh3,instagram,real,483,430,10,118,2068,1,1,18,0.1111,9,16,0.8717,82.59,0.399
zara_rao,twitter,real,60,195,47,346,1771,1,1,124,0.0,8,10,1.0,8.16,1.368
follow.61668,facebook,fake,9,868,18,7,15,1,1,1,0.4167,12,4,0.5366,0.74,3.155
tmp_696,instagram,fake,3,2433,9,1,6,1,1,4,0.4286,7,1,0.5163,3.67,1.486
samirokoye,twitter,real,136,336,42,70,1275,1,0,167,0.0,10,8,0.8333,46.88,0.383
real_098864,instagram,fake,36,588,19,6,21,0,0,19,0.5455,11,5,0.2414,0.66,2.093
felixhassan,instagram,real,424,506,26,406,955,1,1,159,0.0,11,9,1.0,11.76,2.98
aisha.moreau,facebook,real,192,89,192,64,562,1,1,154,0.0,12,15,1.0,23.51,0.797
real.promo445,instagram,fake,19,1869,7,1,8,1,1,18,0.2308,13,2,0.547,5.1,1.216
arjunbrook,instagram,real,462,321,38,61,308,1,1,82,0.0,10,13,0.974,146.56,1.382
freyarao7,facebook,fake,11,996,18,2,24,1,0,0,0.1111,9,1,0.3534,0.99,0.64
tmp.372230,twitter,fake,9,409,11,3,41,0,0,41,0.6,10,6,0.2829,6.33,0.521
jonasweiss,instagram,real,370,394,46,119,518,1,1,88,0.0,10,49,1.0,41.01,1.61
elenaberg2,twitter,real,473,271,23,52,1784,0,0,0,0.1,10,15,0.5,13.45,0.203
felixnguyen7,twitter,fake,6,2034,2,4,10,0,0,60,0.0833,12,6,0.312,1.05,2.698
acc.deal6703,instagram,fake,3,1648,26,7,30,1,0,3,0.3333,12,1,0.3808,9.3,1.527
elena_vale92,facebook,real,109,178,263,59,614,1,1,105,0.1667,12,7,1.0,42.79,0.671
amara.hassan2,twitter,real,593,178,6,119,2940,1,0,115,0.0769,13,16,0.8333,0.63,0.284
follow_077,instagram,fake,25,1689,5,7,50,0,0,27,0.3,10,1,0.275,8.25,0.977
official.acc9773303,twitter,fake,29,878,4,41,7,1,0,26,0.3684,19,5,0.4498,1.83,17.323
noahdsouza3,facebook,real,165,96,487,2,731,1,0,22,0.0909,11,14,0.5558,1.53,0.021
ravi.moreau,instagram,real,3299,843,34,50,569,1,0,118,0.0,11,16,0.8333,19.97,0.619
official.66832,twitter,fake,28,1117,3,2,21,0,0,10,0.3571,14,3,0.206,0.53,0.757
follow0106,instagram,fake,58,1437,42,6,14,1,0,57,0.4,10,1,0.4848,0.97,10.499
kainair,instagram,real,272,259,35,34,1053,1,1,108,0.0,7,11,0.9754,66.06,0.227
priyanair,twitter,real,202,324,14,342,736,1,1,80,0.0,9,15,0.9995,7.69,3.254
elenakade,instagram,real,240,254,61,18,52,1,1,94,0.0,9,3,0.7646,38.61,2.398
omar.moreau,instagram,real,10656,407,66,165,1983,1,1,0,0.0,11,10,0.8333,273.72,0.582
theo.weiss2,instagram,real,1042,512,42,20,34,1,1,130,0.0909,11,2,0.7635,23.82,4.018
hugo.brook,facebook,real,62,143,370,79,218,1,0,95,0.0,10,16,0.7662,11.7,2.527
amara.rao,facebook,real,163,73,742,22,699,1,1,66,0.0,9,33,0.8957,31.72,0.219
dev_park3,facebook,real,212,103,1055,170,288,1,1,128,0.1111,9,10,0.9648,18.5,4.139
kai_hassan,twitter,real,87,319,11,87,1127,1,0,116,0.0,10,21,0.8333,11.73,0.542
priya_okoye,facebook,real,64,257,292,86,516,1,1,17,0.0,11,18,0.8684,70.49,1.163
promo.real622160,instagram,fake,78,3243,5,7,12,0,1,22,0.375,16,4,0.4143,1.81,5.095
user.user4261863,twitter,fake,157,328,15,32,12,1,1,81,0.4375,16,2,0.8069,32.31,18.863
meera_okoye2,instagram,real,667,144,17,70,521,1,1,178,0.0833,12,40,1.0,64.63,0.938
clara.kade,instagram,real,846,322,33,354,353,1,0,83,0.0,10,17,0.8279,13.24,7.012
ravi.costa,facebook,real,88,108,526,80,1958,1,1,95,0.0,10,10,1.0,10.09,0.287
elena.alvarez,instagram,real,135,1018,76,8,18,1,1,83,0.0,13,1,0.7092,39.16,3.204
xxwin7595,facebook,fake,10,1302,38,23,1526,1,0,49,0.4444,9,1,0.699,2.18,0.106
meera.hassan,instagram,real,111,247,22,129,2505,1,0,108,0.0,12,17,0.8333,143.01,0.362
rohandsouza,facebook,real,942,136,361,13,181,1,1,8,0.0,11,106,0.6545,0.88,0.505
ravi_okoye,facebook,real,72,255,366,1,46,1,1,14,0.0,10,3,0.5519,1.77,0.082
bot.7279764,facebook,fake,14,953,112,16,437,1,0,39,0.6364,11,1,0.6472,0.79,0.25
promo_net74272,instagram,fake,1329,1136,19,93,1827,1,1,60,0.3571,14,18,0.9582,31.33,0.357
new.q1834504,twitter,fake,24,1389,10,3,18,1,0,43,0.5833,12,4,0.4435,1.15,13.434
ravi.iyer,facebook,real,86,151,562,147,442,1,1,14,0.0,9,41,0.8622,17.74,2.326
aditya_hassan2,facebook,real,395,332,249,69,244,1,1,105,0.0714,14,7,0.9447,63.8,1.98
aisha.okoye,instagram,real,1879,204,48,10,439,1,1,14,0.0,11,23,0.7385,6.23,0.167
tmp.net7683,instagram,fake,42,1048,4,22,1272,1,0,48,0.3636,11,1,0.6895,4.86,0.119
winreal70029,facebook,fake,435,257,17,82,2068,1,0,139,0.4167,12,12,0.8333,7.49,0.277
omarkade6,instagram,fake,31,1576,9,22,86,0,0,21,0.1111,9,3,0.3423,2.78,1.789
hugo.iyer,facebook,real,139,104,1106,100,214,1,1,108,0.0,9,49,0.9311,63.64,3.256
new_official12954,facebook,fake,5,1357,40,1,69,0,1,4,0.2941,17,1,0.3775,2.72,0.08
bot9568,facebook,fake,9,826,17,9,113,0,0,46,0.5714,7,1,0.3533,1.36,0.577
felixvale2,twitter,real,412,135,48,12,909,1,0,16,0.1,10,8,0.5848,1.98,0.095
xx_908,facebook,fake,14,801,27,2,29,1,0,1,0.5,6,2,0.3576,1.23,0.55
claravale94,facebook,real,67,331,282,205,1776,1,1,147,0.1818,11,4,1.0,9.43,0.808
idq0893404,instagram,fake,24,1192,8,1,25,1,0,27,0.7,10,2,0.4052,15.32,0.29
bot_xx1592,instagram,fake,13,2721,5,13,19,0,1,14,0.4,10,2,0.4249,4.98,7.274
noahweiss7,instagram,fake,13,850,3,7,22,0,0,21,0.1,10,1,0.2467,0.47,2.077
theo_berg,instagram,real,246,225,35,53,483,1,1,64,0.0,9,17,0.9658,84.25,0.768
elena.rao2,facebook,real,213,185,437,80,1972,0,1,98,0.1,10,19,0.8333,10.52,0.284
aditya.berg2,instagram,real,737,233,23,146,540,1,0,132,0.0833,12,14,0.8333,98.59,1.892
ninasantos2,instagram,fake,151,2007,7,30,21,1,1,138,0.0909,11,4,0.8032,8.8,10.157
meera_nguyen,facebook,real,127,144,342,53,725,1,1,5,0.0,12,40,0.8437,9.5,0.512
kaiberg,facebook,real,730,372,334,10,12,1,1,135,0.0,7,5,0.7121,2.31,5.599
raviberg98,twitter,real,51,239,10,135,1932,1,0,106,0.2,10,32,0.8333,47.73,0.488
hugo.brook2,instagram,real,5016,265,8,12,54,1,1,18,0.0909,11,2,0.614,11.2,1.596
official_3498558,facebook,fake,4,879,44,7,6,1,0,0,0.4375,16,1,0.3648,3.09,8.033
freya.vale,facebook,real,560,151,496,80,1022,1,1,115,0.0,10,18,1.0,38.53,0.548
jonasweiss3,facebook,fake,11,371,17,5,37,0,1,14,0.0909,11,1,0.4024,3.95,1.005
nina_kade,facebook,real,586,63,298,4,1537,1,1,7,0.0,9,18,0.6963,6.69,0.017
omarcosta,twitter,real,970,320,53,17,42,1,1,66,0.0,9,2,0.7287,0.85,2.883
freyanair95,facebook,real,213,221,541,73,748,1,1,129,0.1818,11,6,1.0,26.07,0.686
noah.singh93,twitter,real,58,167,22,122,647,1,0,111,0.1667,12,34,0.8333,11.52,1.325
anikaberg,twitter,real,698,133,49,12,205,0,1,7,0.0,9,14,0.4932,4.08,0.416
amara_nair,facebook,real,67,166,436,50,438,1,1,152,0.0,10,6,1.0,4.33,0.807
zara_santos3,instagram,real,3076,324,53,13,1204,1,1,8,0.0833,12,14,0.7371,1.96,0.076
realq551849,facebook,fake,13,742,19,30,988,1,0,22,0.5455,11,0,0.671,8.76,0.212
new_809580,instagram,fake,40,541,11,41,1186,1,0,4,0.6,10,1,0.6758,2.89,0.244
q.win7725,instagram,fake,9,1291,6,12,31,1,0,7,0.4444,9,2,0.4124,10.73,2.756
q_892,facebook,fake,34,418,65,2,16,0,0,44,0.6,5,1,0.2753,3.18,0.979
botwin9715,facebook,fake,4,759,25,2,49,1,0,0,0.4,10,1,0.3652,0.96,0.325
dev_okoye,instagram,real,105,198,26,78,250,0,0,154,0.0,9,7,0.6142,76.34,2.183
theoalvarez,twitter,real,552,178,27,133,2265,0,1,54,0.0,11,9,0.7801,3.21,0.41
q.acc7277922,facebook,fake,51,903,12,2,40,0,0,23,0.5833,12,1,0.2419,7.0,0.366
theovale,facebook,real,21,142,214,125,488,0,1,121,0.0,8,9,0.8333,26.4,1.798
freya_brook,twitter,real,136,127,19,381,1002,1,0,53,0.0,11,11,0.7762,10.54,2.662
hugo.costa,instagram,real,447,346,50,246,1049,1,0,131,0.0,10,65,0.8333,23.44,1.645
marcochen22,twitter,fake,22,663,4,3,19,1,0,17,0.1818,11,3,0.3908,0.92,1.192
xxnew916727,twitter,fake,27,820,6,10,21,1,0,3,0.5455,11,1,0.3887,0.9,3.17
user84529,facebook,fake,17,1463,10,3,85,1,0,39,0.5556,9,1,0.4653,1.35,0.249
official_deal120969,facebook,fake,10,548,40,3,9,0,0,39,0.3158,19,1,0.1563,0.98,12.521
clara.iyer,instagram,real,39,141,63,72,475,1,0,169,0.0,10,15,0.8333,72.32,1.062
deal.82540,instagram,fake,18,1004,5,11,19,0,0,25,0.5,10,1,0.2718,8.11,12.319
id.588201,twitter,fake,4,1705,3,10,14,0,0,6,0.6667,9,1,0.226,1.28,4.815
hugosingh1,twitter,fake,16,1815,6,48,1010,1,0,29,0.1,10,1,0.7275,1.63,0.33
theo_khan,facebook,real,48,118,473,2,29,1,0,83,0.0,9,2,0.5224,12.11,0.53
zaraiyer3,facebook,fake,5,392,31,1,20,1,0,26,0.1111,9,1,0.3995,1.03,15.194
felixnguyen,twitter,real,772,682,80,18,29,1,0,69,0.0,11,9,0.5666,24.95,4.378
elena.park,twitter,real,182,309,38,61,1118,1,0,145,0.0,10,29,0.8333,4.24,0.379
sienna.park,instagram,real,1950,336,28,12,22,1,1,137,0.0,11,9,0.7279,23.45,3.909
elena_weiss,instagram,real,121,101,12,20,13,1,1,136,0.0,11,4,0.755,9.48,10.643
dev_berg,facebook,real,1369,229,282,46,303,1,1,25,0.0,8,43,0.8562,83.14,1.073
xx_977,facebook,fake,15,685,5,17,23,1,0,37,0.5,6,6,0.4909,1.36,5.114
kaichen,instagram,real,972,269,92,59,223,1,0,176,0.0,7,9,0.7685,189.88,1.861
jonas.singh,facebook,real,47,87,402,4,7,1,0,216,0.0,11,8,0.5178,8.98,3.51
xx943,twitter,fake,25,1323,4,8,9,0,0,32,0.6,5,4,0.2723,0.39,11.526
elenakhan2,instagram,real,540,515,12,206,1248,1,1,174,0.1,10,16,1.0,46.78,1.157
marcopark90,facebook,real,96,72,402,16,44,1,1,122,0.1818,11,2,0.7553,15.62,2.617
xx.id1669597,facebook,fake,19,860,5,9,15,1,0,52,0.5833,12,1,0.4863,3.26,4.128
anika_chen,facebook,real,169,46,373,36,643,1,0,120,0.0,10,12,0.8169,19.51,0.392
priya_iyer2,facebook,real,21,212,161,33,961,1,1,57,0.0909,11,25,0.9253,15.41,0.243
aditya_brook,instagram,real,212,694,11,124,1733,1,0,71,0.0,12,40,0.8147,42.8,0.5
kaiweiss2,instagram,real,1971,419,35,6,1896,1,1,22,0.1111,9,6,0.7361,2.54,0.021
felix_chen,instagram,real,706,435,131,180,1101,1,1,94,0.0,10,66,1.0,121.91,1.143
id2374,instagram,fake,27,2575,6,9,1,1,0,25,0.6667,6,1,0.4236,1.79,4.141
official633472,twitter,fake,10,1358,5,2,25,0,1,48,0.4286,14,2,0.4531,0.46,0.603
felixkhan,instagram,real,257,327,18,406,733,1,0,0,0.0,9,11,0.6667,20.87,3.875
